Scenario,UserCount,Algorithm,Throughput_Mbps,Latency_ms,Energy_J,LoadBalance,QoSViolation_%,UserSatisfaction_%
LOW_MOBILITY,100,Stackelberg Game,30.00,8.00,2281798.28,1.333,0.00,90.82
LOW_MOBILITY,100,Nearest Neighbor,15.00,8.00,1753882.13,1.000,0.00,91.80
LOW_MOBILITY,100,Random Assignment,46.95,8.00,1756439.75,1.541,0.37,92.34
LOW_MOBILITY,100,Greedy Assignment,20.83,8.00,1755486.75,1.130,2.44,93.86
LOW_MOBILITY,100,Load Balanced,43.90,8.00,1755106.71,2.117,0.89,91.49
LOW_MOBILITY,100,Signal Strength Based,39.12,8.00,1755815.86,1.820,2.53,93.37
LOW_MOBILITY,150,Round Robin,30.00,8.00,1928611.69,1.333,0.00,94.93
LOW_MOBILITY,150,Auction-based,30.00,8.00,2317157.17,1.333,0.00,92.35
LOW_MOBILITY,150,Cooperative Game,1650.00,20.98,172759311.50,45.826,100.00,30.44
LOW_MOBILITY,150,Nash Equilibrium,60.00,8.00,2123758.51,2.211,0.00,91.20
LOW_MOBILITY,150,Stackelberg Game,75.00,8.00,2508978.24,2.687,0.00,92.80
LOW_MOBILITY,150,Nearest Neighbor,90.00,8.00,1931951.64,3.055,0.00,92.60
LOW_MOBILITY,150,Random Assignment,90.00,8.00,1930394.83,2.667,0.00,91.49
LOW_MOBILITY,150,Greedy Assignment,32.73,8.00,1931050.17,1.479,0.90,93.44
LOW_MOBILITY,150,Load Balanced,29.54,8.00,1930771.91,1.969,1.08,92.00
LOW_MOBILITY,150,Signal Strength Based,47.57,8.00,1930975.16,2.292,1.34,90.66
LOW_MOBILITY,200,Round Robin,119.47,8.00,2106127.64,5.312,13.42,89.52
LOW_MOBILITY,200,Auction-based,91.20,8.00,2526708.47,3.493,0.98,90.40
LOW_MOBILITY,200,Cooperative Game,2400.00,21.87,204647897.66,30.551,100.00,36.74
LOW_MOBILITY,200,Nash Equilibrium,45.32,8.00,2316982.41,2.136,0.15,90.18
LOW_MOBILITY,200,Stackelberg Game,45.00,8.00,2739156.76,2.134,0.00,90.56
LOW_MOBILITY,200,Nearest Neighbor,45.68,8.00,2106086.60,3.002,0.30,92.43
LOW_MOBILITY,200,Random Assignment,103.35,8.00,2104577.52,3.641,2.86,90.76
LOW_MOBILITY,200,Greedy Assignment,51.58,8.00,2106349.38,2.170,1.04,91.52
LOW_MOBILITY,200,Load Balanced,139.61,8.00,2104778.59,5.533,13.45,88.64
LOW_MOBILITY,200,Signal Strength Based,64.90,8.00,2105603.69,3.173,0.92,90.74
HIGH_MOBILITY,50,Round Robin,12.80,6.17,1895354.70,0.801,4.00,70.23
HIGH_MOBILITY,50,Auction-based,4.40,2.27,2274727.13,0.287,1.24,26.00
HIGH_MOBILITY,50,Cooperative Game,500.00,25.38,82467922.10,40.311,100.00,27.47
HIGH_MOBILITY,50,Nash Equilibrium,7.36,3.16,2084786.28,0.427,2.14,36.08
HIGH_MOBILITY,50,Stackelberg Game,16.55,8.00,2464484.81,1.092,6.49,89.98
HIGH_MOBILITY,50,Nearest Neighbor,1.80,0.96,1894035.88,0.120,0.92,10.90
HIGH_MOBILITY,50,Random Assignment,17.58,8.00,1896419.05,1.099,0.57,92.63
HIGH_MOBILITY,50,Greedy Assignment,28.74,8.00,1895533.41,1.316,0.79,93.77
HIGH_MOBILITY,50,Load Balanced,2.65,1.40,1895165.66,0.177,0.63,16.03
HIGH_MOBILITY,50,Signal Strength Based,16.58,6.82,1895161.06,1.007,3.18,77.43
HIGH_MOBILITY,100,Round Robin,8.83,3.92,2106529.76,0.521,1.88,45.06
HIGH_MOBILITY,100,Auction-based,16.85,5.87,2527027.12,0.888,5.17,67.70
HIGH_MOBILITY,100,Cooperative Game,1000.00,26.49,187151404.63,50.000,100.00,24.41
HIGH_MOBILITY,100,Nash Equilibrium,17.61,5.92,2317603.49,0.926,7.76,68.08
HIGH_MOBILITY,100,Stackelberg Game,10.11,3.85,2736421.78,0.561,2.31,44.10
HIGH_MOBILITY,100,Nearest Neighbor,28.17,8.00,2104745.41,1.267,1.80,92.43
HIGH_MOBILITY,100,Random Assignment,36.63,8.00,2104868.91,1.809,4.83,92.37
HIGH_MOBILITY,100,Greedy Assignment,16.60,8.00,2107665.42,1.042,0.56,90.74
HIGH_MOBILITY,100,Load Balanced,34.16,7.91,2106291.88,1.676,4.97,90.29
HIGH_MOBILITY,100,Signal Strength Based,19.47,8.00,2107168.49,1.174,0.85,90.31
HIGH_MOBILITY,150,Round Robin,23.56,8.00,2316362.84,1.203,2.23,90.54
HIGH_MOBILITY,150,Auction-based,32.65,8.00,2779727.97,1.441,1.58,92.54
HIGH_MOBILITY,150,Cooperative Game,1650.00,24.76,245817313.45,44.577,99.87,30.80
HIGH_MOBILITY,150,Nash Equilibrium,17.83,6.59,2546687.02,0.988,5.13,75.07
HIGH_MOBILITY,150,Stackelberg Game,29.83,7.36,3011540.07,1.333,5.25,83.69
HIGH_MOBILITY,150,Nearest Neighbor,51.13,8.00,2315359.93,1.776,4.77,91.02
HIGH_MOBILITY,150,Random Assignment,30.33,7.98,2316691.77,1.459,3.38,91.69
HIGH_MOBILITY,150,Greedy Assignment,39.65,8.00,2317934.81,1.879,4.27,90.93
HIGH_MOBILITY,150,Load Balanced,6.23,2.94,2315984.66,0.387,2.42,33.77
HIGH_MOBILITY,150,Signal Strength Based,20.54,6.59,2315882.82,1.202,3.71,75.33
HIGH_MOBILITY,200,Round Robin,85.79,8.00,2526287.50,3.340,22.31,90.52
HIGH_MOBILITY,200,Auction-based,26.50,8.00,3029675.22,1.501,1.65,92.60
HIGH_MOBILITY,200,Cooperative Game,2400.00,25.05,282322901.57,30.551,100.00,36.76
HIGH_MOBILITY,200,Nash Equilibrium,20.53,8.00,2781998.95,1.289,0.77,92.75
HIGH_MOBILITY,200,Stackelberg Game,40.30,8.00,3284326.08,1.991,3.74,91.09
HIGH_MOBILITY,200,Nearest Neighbor,33.34,8.00,2525995.22,2.014,2.93,91.21
HIGH_MOBILITY,200,Random Assignment,72.90,8.00,2526354.86,2.644,5.55,93.12
HIGH_MOBILITY,200,Greedy Assignment,59.96,8.00,2526091.58,2.490,5.09,91.76
HIGH_MOBILITY,200,Load Balanced,53.96,8.00,2527964.73,2.301,0.67,93.64
HIGH_MOBILITY,200,Signal Strength Based,19.24,8.00,2526938.17,1.125,0.46,91.43
MIXED_TRAFFIC,50,Round Robin,31.78,8.00,1737582.40,2.016,0.11,92.42
MIXED_TRAFFIC,50,Auction-based,6.90,2.90,2085909.30,0.414,1.53,33.51
MIXED_TRAFFIC,50,Cooperative Game,500.00,28.58,84110812.67,40.311,100.00,27.47
MIXED_TRAFFIC,50,Nash Equilibrium,17.13,7.35,1911909.56,1.026,2.69,84.05
MIXED_TRAFFIC,50,Stackelberg Game,1.95,1.04,2258582.70,0.130,0.44,11.95
MIXED_TRAFFIC,50,Nearest Neighbor,2.86,1.26,1736851.30,0.173,0.57,14.41
MIXED_TRAFFIC,50,Random Assignment,16.49,8.00,1737307.00,1.033,0.07,93.23
MIXED_TRAFFIC,50,Greedy Assignment,7.45,2.98,1736674.14,0.416,2.65,34.10
MIXED_TRAFFIC,50,Load Balanced,27.12,7.96,1738034.87,1.266,1.07,92.25
MIXED_TRAFFIC,50,Signal Strength Based,20.93,8.00,1737753.15,1.181,0.54,91.00
MIXED_TRAFFIC,100,Round Robin,19.86,8.00,1929304.98,1.298,0.58,93.99
MIXED_TRAFFIC,100,Auction-based,16.73,5.68,2315916.05,0.848,3.65,65.10
MIXED_TRAFFIC,100,Cooperative Game,1000.00,25.55,165966526.22,50.000,100.00,24.36
MIXED_TRAFFIC,100,Nash Equilibrium,6.27,3.22,2123186.93,0.407,1.19,37.08
MIXED_TRAFFIC,100,Stackelberg Game,14.98,6.38,2511845.72,0.906,2.70,72.93
MIXED_TRAFFIC,100,Nearest Neighbor,54.55,8.00,1931236.54,1.942,0.67,91.82
