Scenario,UserCount,Algorithm,Throughput_Mbps,Latency_ms,Energy_J,LoadBalance,QoSViolation_%,UserSatisfaction_%
MIXED_TRAFFIC,100,Greedy Assignment,1417.20,8.31,5443881.34,34.502,54.94
MIXED_TRAFFIC,100,Random Assignment,1218.66,9.04,20037275.52,14.293,53.91
MIXED_TRAFFIC,150,Nash Equilibrium,1974.57,8.21,16115653.68,34.632,51.06
MIXED_TRAFFIC,150,Stackelberg Game,2050.74,7.86,17298750.37,35.547,50.60
MIXED_TRAFFIC,150,Nearest Neighbor,1885.21,7.51,22583958.11,35.282,42.88
MIXED_TRAFFIC,150,Round Robin,1854.88,9.02,32993425.98,17.800,44.41
MIXED_TRAFFIC,150,Signal Strength Based,1681.11,7.80,36640387.43,36.865,34.20
MIXED_TRAFFIC,150,Auction-based,2073.51,7.86,14191888.57,38.427,51.43
MIXED_TRAFFIC,150,Cooperative Game,1650.00,21.41,150484621.48,44.479,30.86
MIXED_TRAFFIC,150,Load Balanced,1809.17,9.14,36545405.61,15.218,42.37
MIXED_TRAFFIC,150,Greedy Assignment,2044.84,8.43,13396434.80,41.240,50.97
MIXED_TRAFFIC,150,Random Assignment,1844.30,8.94,33089138.12,21.095,43.97
MIXED_TRAFFIC,200,Nash Equilibrium,2402.54,8.27,27689226.80,31.265,47.97
MIXED_TRAFFIC,200,Stackelberg Game,2516.10,7.79,33165814.06,30.205,46.38
MIXED_TRAFFIC,200,Nearest Neighbor,2433.36,7.68,27205180.46,38.420,42.54
MIXED_TRAFFIC,200,Round Robin,2366.52,8.86,48132072.81,22.034,39.22
MIXED_TRAFFIC,200,Signal Strength Based,2187.66,8.17,46160421.15,30.447,37.14
MIXED_TRAFFIC,200,Auction-based,2494.15,7.87,31354015.81,34.861,45.75
MIXED_TRAFFIC,200,Cooperative Game,2400.00,22.05,171236210.64,29.851,37.04
MIXED_TRAFFIC,200,Load Balanced,2381.53,9.04,50522332.01,16.561,38.71
MIXED_TRAFFIC,200,Greedy Assignment,2405.76,8.62,27340017.35,35.361,47.14
MIXED_TRAFFIC,200,Random Assignment,2425.39,8.85,47277754.19,27.805,40.56
HIGH_MOBILITY,50,Nash Equilibrium,666.68,8.45,5786149.82,14.236,68.77
HIGH_MOBILITY,50,Stackelberg Game,683.13,7.98,6651574.86,14.617,67.98
HIGH_MOBILITY,50,Nearest Neighbor,605.61,7.20,8683900.68,15.797,60.46
HIGH_MOBILITY,50,Round Robin,590.27,9.47,13082497.43,13.050,59.19
HIGH_MOBILITY,50,Signal Strength Based,546.52,7.33,12380005.61,18.302,51.69
HIGH_MOBILITY,50,Auction-based,697.95,7.99,4982620.27,15.564,68.58
HIGH_MOBILITY,50,Cooperative Game,513.00,24.60,60422999.50,39.277,30.68
HIGH_MOBILITY,50,Load Balanced,599.63,9.11,11890605.88,6.596,63.07
HIGH_MOBILITY,50,Greedy Assignment,614.38,9.45,11535642.52,24.710,54.18
HIGH_MOBILITY,50,Random Assignment,596.78,9.00,12008838.94,13.363,59.79
HIGH_MOBILITY,100,Nash Equilibrium,1365.65,8.17,8504039.13,29.010,57.24
HIGH_MOBILITY,100,Stackelberg Game,1387.27,7.84,10753676.30,27.576,57.12
HIGH_MOBILITY,100,Nearest Neighbor,1264.68,7.51,15601702.45,25.939,50.77
HIGH_MOBILITY,100,Round Robin,1204.84,8.90,24083695.35,17.022,51.10
HIGH_MOBILITY,100,Signal Strength Based,1123.82,7.83,25960810.55,30.036,41.22
HIGH_MOBILITY,100,Auction-based,1437.15,8.10,6667864.70,33.703,57.21
HIGH_MOBILITY,100,Cooperative Game,1000.00,23.32,127514031.96,50.000,24.34
HIGH_MOBILITY,100,Load Balanced,1198.43,8.88,24398647.56,11.710,52.75
HIGH_MOBILITY,100,Greedy Assignment,1308.80,8.68,16133388.28,36.709,49.75
HIGH_MOBILITY,100,Random Assignment,1221.79,8.95,23247467.58,18.796,51.15
