Scenario,UserCount,Algorithm,Throughput_Mbps,Latency_ms,Energy_J,LoadBalance,QoSViolation_%,UserSatisfaction_%
HOTSPOT_SCENARIO,50,Round Robin,3.15,1.68,1421317.05,0.210,2.11,18.99
HOTSPOT_SCENARIO,50,Auction-based,5.43,2.51,1705773.61,0.330,2.92,28.34
HOTSPOT_SCENARIO,50,Cooperative Game,500.00,17.27,43188734.27,40.311,100.00,27.85
HOTSPOT_SCENARIO,50,Nash Equilibrium,0.28,0.15,1564178.48,0.018,0.39,1.65
HOTSPOT_SCENARIO,50,Stackelberg Game,22.06,7.28,1848901.90,1.471,6.60,82.16
HOTSPOT_SCENARIO,50,Nearest Neighbor,8.54,4.55,1420883.70,0.569,2.17,51.79
HOTSPOT_SCENARIO,50,Random Assignment,26.67,8.00,1421955.36,1.259,0.71,92.65
HOTSPOT_SCENARIO,50,Greedy Assignment,0.68,0.36,1421258.81,0.045,0.69,4.05
HOTSPOT_SCENARIO,50,Load Balanced,0.01,0.01,1422304.59,0.001,0.08,0.07
HOTSPOT_SCENARIO,50,Signal Strength Based,11.81,6.30,1421171.64,0.787,2.97,71.62
HOTSPOT_SCENARIO,100,Round Robin,3.38,1.80,1578931.78,0.225,2.19,20.37
HOTSPOT_SCENARIO,100,Auction-based,8.08,4.31,1897549.52,0.538,5.56,48.74
HOTSPOT_SCENARIO,100,Cooperative Game,1000.00,16.94,92866659.35,50.000,100.00,24.68
HOTSPOT_SCENARIO,100,Nash Equilibrium,30.94,8.00,1737908.94,1.485,3.65,93.07
HOTSPOT_SCENARIO,100,Stackelberg Game,15.84,7.89,2053245.25,1.010,1.22,92.04
HOTSPOT_SCENARIO,100,Nearest Neighbor,16.42,8.00,1579883.00,1.095,1.01,95.61
HOTSPOT_SCENARIO,100,Random Assignment,27.87,8.00,1579677.05,1.286,1.04,93.20
HOTSPOT_SCENARIO,100,Greedy Assignment,15.38,8.00,1579305.81,1.008,0.22,94.54
HOTSPOT_SCENARIO,100,Load Balanced,15.00,8.00,1579268.34,1.000,0.00,93.63
HOTSPOT_SCENARIO,100,Signal Strength Based,0.05,0.02,1578934.86,0.003,0.19,0.27
HOTSPOT_SCENARIO,150,Round Robin,0.21,0.11,1737836.91,0.014,0.25,1.25
HOTSPOT_SCENARIO,150,Auction-based,15.00,8.00,2084135.75,1.000,0.00,94.85
HOTSPOT_SCENARIO,150,Cooperative Game,1650.00,17.28,125668228.54,45.826,100.00,30.59
HOTSPOT_SCENARIO,150,Nash Equilibrium,0.46,0.25,1910352.18,0.031,0.44,2.77
HOTSPOT_SCENARIO,150,Stackelberg Game,15.18,7.96,2259065.81,1.001,0.47,92.05
HOTSPOT_SCENARIO,150,Nearest Neighbor,0.36,0.19,1736944.87,0.024,0.72,2.17
HOTSPOT_SCENARIO,150,Random Assignment,15.19,8.00,1738314.92,1.005,0.11,95.38
HOTSPOT_SCENARIO,150,Greedy Assignment,14.50,5.76,1736299.51,0.958,8.00,65.11
HOTSPOT_SCENARIO,150,Load Balanced,0.79,0.41,1736782.98,0.052,0.57,4.61
HOTSPOT_SCENARIO,150,Signal Strength Based,15.00,8.00,1737521.70,1.000,0.00,94.90
HOTSPOT_SCENARIO,200,Round Robin,28.98,8.00,1894077.87,1.815,2.92,92.05
HOTSPOT_SCENARIO,200,Auction-based,24.55,7.88,2275557.03,1.199,2.52,90.82
HOTSPOT_SCENARIO,200,Cooperative Game,2400.00,17.06,134177140.31,30.551,100.00,36.98
HOTSPOT_SCENARIO,200,Nash Equilibrium,4.86,2.56,2085012.64,0.321,2.75,29.07
HOTSPOT_SCENARIO,200,Stackelberg Game,24.10,8.00,2464493.97,1.207,1.63,92.91
HOTSPOT_SCENARIO,200,Nearest Neighbor,12.81,5.29,1895242.48,0.812,5.84,59.89
HOTSPOT_SCENARIO,200,Random Assignment,32.63,7.78,1894478.07,1.840,9.34,88.35
HOTSPOT_SCENARIO,200,Greedy Assignment,0.73,0.38,1895410.44,0.048,1.01,4.32
HOTSPOT_SCENARIO,200,Load Balanced,5.10,2.50,1895701.55,0.322,3.20,28.41
HOTSPOT_SCENARIO,200,Signal Strength Based,0.00,0.00,1895245.34,0.000,0.00,0.00
LOW_MOBILITY,50,Round Robin,0.00,0.00,1578944.48,0.000,0.00,0.00
LOW_MOBILITY,50,Auction-based,15.00,8.00,1896257.20,1.000,0.00,94.30
LOW_MOBILITY,50,Cooperative Game,515.00,23.23,62100584.64,39.059,100.00,31.20
LOW_MOBILITY,50,Nash Equilibrium,30.00,8.00,1737276.89,1.333,50.00,91.18
LOW_MOBILITY,50,Stackelberg Game,15.00,8.00,2053284.92,1.000,0.00,90.40
LOW_MOBILITY,50,Nearest Neighbor,38.83,8.00,1579201.66,2.013,2.43,90.14
LOW_MOBILITY,50,Random Assignment,30.00,8.00,1578991.82,2.000,0.00,92.43
LOW_MOBILITY,50,Greedy Assignment,10.38,5.53,1579610.78,0.692,2.67,63.24
LOW_MOBILITY,50,Load Balanced,52.70,8.00,1580050.15,2.407,2.85,91.04
LOW_MOBILITY,50,Signal Strength Based,0.00,0.00,1579221.56,0.000,0.00,0.00
LOW_MOBILITY,100,Round Robin,75.11,8.00,1755631.19,2.735,17.54,92.21
LOW_MOBILITY,100,Auction-based,48.18,8.00,2105621.54,2.330,1.75,90.58
LOW_MOBILITY,100,Cooperative Game,1015.00,24.62,144382085.30,47.703,100.00,26.17
LOW_MOBILITY,100,Nash Equilibrium,45.00,8.00,1929800.18,2.134,0.00,90.91
LOW_MOBILITY,100,Stackelberg Game,30.00,8.00,2281662.67,1.333,0.00,90.82
LOW_MOBILITY,100,Nearest Neighbor,15.00,8.00,1753437.55,1.000,0.00,91.80
LOW_MOBILITY,100,Random Assignment,49.10,8.00,1755113.48,1.556,0.55,92.29
LOW_MOBILITY,100,Greedy Assignment,20.86,8.00,1755170.24,1.130,1.43,93.65
LOW_MOBILITY,100,Load Balanced,41.47,8.00,1754571.62,2.103,0.69,91.72
LOW_MOBILITY,100,Signal Strength Based,38.29,8.00,1754156.92,1.776,2.39,93.45
LOW_MOBILITY,150,Round Robin,30.00,8.00,1930626.29,1.333,0.00,94.93
LOW_MOBILITY,150,Auction-based,30.00,8.00,2315413.72,1.333,0.00,92.35
LOW_MOBILITY,150,Cooperative Game,1650.00,20.98,172790815.09,45.826,100.00,30.44
LOW_MOBILITY,150,Nash Equilibrium,60.00,8.00,2122912.17,2.211,0.01,91.20
LOW_MOBILITY,150,Stackelberg Game,75.00,8.00,2510899.32,2.687,0.00,92.75
LOW_MOBILITY,150,Nearest Neighbor,90.00,8.00,1930746.32,3.055,0.00,92.73
LOW_MOBILITY,150,Random Assignment,90.70,8.00,1930837.36,2.682,0.30,91.46
LOW_MOBILITY,150,Greedy Assignment,31.01,8.00,1931543.05,1.387,0.78,93.63
LOW_MOBILITY,150,Load Balanced,29.66,8.00,1931048.73,1.978,0.61,92.16
LOW_MOBILITY,150,Signal Strength Based,45.60,8.00,1929991.91,2.171,0.77,90.79
LOW_MOBILITY,200,Round Robin,118.90,8.00,2106365.44,5.289,13.85,89.55
LOW_MOBILITY,200,Auction-based,88.49,8.00,2524999.27,3.374,0.70,90.47
LOW_MOBILITY,200,Cooperative Game,2400.00,21.86,204669188.87,30.551,100.00,36.74
LOW_MOBILITY,200,Nash Equilibrium,45.39,8.00,2315876.52,2.136,0.07,90.18
LOW_MOBILITY,200,Stackelberg Game,45.00,8.00,2738229.95,2.134,0.00,90.56
LOW_MOBILITY,200,Nearest Neighbor,46.76,8.00,2106248.00,3.006,0.34,92.39
LOW_MOBILITY,200,Random Assignment,102.47,8.00,2106074.61,3.600,2.24,90.84
LOW_MOBILITY,200,Greedy Assignment,51.09,8.00,2106779.01,2.127,1.32,91.65
LOW_MOBILITY,200,Load Balanced,141.54,8.00,2105926.83,5.647,13.27,88.49
LOW_MOBILITY,200,Signal Strength Based,64.60,8.00,2104567.72,3.165,1.28,90.73
